UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type,vib_rms,vib_crest_factor,vib_bpfo_energy,vib_bpfi_energy,vib_bsf_energy
25,L,299.36,308.14,1671,23.12,45.8,0,No_Failure,0.062095603909954125,4.514062458929921,18.875552740968633,21.483081523114794,11.38947525294023
26,M,301.2,311.02,1410,32.42,47.3,0,No_Failure,0.06136544575531936,3.4517427599003003,20.34604319144653,17.93268615477972,9.16339552029353
27,L,298.19,308.13,1465,39.74,119.4,0,No_Failure,0.10341522518536524,2.910059855186216,63.498247404005305,39.16095802483002,31.789564767902014
28,L,300.28,309.38,1197,52.66,116.9,0,No_Failure,0.10312774136268704,3.296732607631259,64.89753322088443,40.94610790563348,32.220864057707
29,L,300.63,312.72,1277,38.11,104.4,0,No_Failure,0.09097428271769312,2.9448440344523443,48.39782668000787,44.126246013954635,21.468504478955634
30,L,297.03,306.55,1579,38.86,213.0,0,No_Failure,0.25009573464959456,2.537997410405588,167.83102474394843,132.19264119214967,61.3131302862398
31,M,301.22,310.06,1681,31.85,247.8,1,Tool_Wear_Failure,0.32905971530167843,2.510306021167069,239.00979854504146,156.81385448577683,79.64281257219065
32,L,302.69,312.6,1623,50.96,88.7,0,No_Failure,0.07878776958859571,3.375338762212464,45.54155578004411,29.607436295195292,18.97817210834032
33,L,299.65,310.56,1617,49.02,73.7,0,No_Failure,0.0714052906696899,2.9011227950489062,33.0824361186941,21.242599046534437,15.388354159172067
34,H,302.72,312.74,1488,47.89,197.5,0,No_Failure,0.22113198283963198,2.4440271341211157,170.90245431242917,103.99967530038356,73.37172147421651
35,H,299.62,310.11,1427,41.12,117.4,0,No_Failure,0.10131384549537562,3.205766332498454,67.0181218651964,49.732353295467,23.13342390749185
36,M,301.7,310.83,1552,24.01,57.4,0,No_Failure,0.06538514464762106,3.6985374981004435,26.199225623836703,17.165886812071193,13.335385907321662
37,L,295.56,307.05,1648,50.87,45.2,0,No_Failure,0.06007647520076709,2.8353062246072867,20.490374832602992,20.399697093265004,11.88814214627024
38,L,304.84,315.4,1501,40.57,70.1,0,No_Failure,0.06854654878517151,3.6134655639444007,29.27439976675747,23.234381552318847,16.04965485982288
39,M,302.99,314.04,1718,36.91,3.3,0,No_Failure,0.05738787215022571,3.0821289463015424,14.530684490113924,12.213277234983682,8.350388984392069
40,L,299.43,309.8,1461,44.48,235.4,0,No_Failure,0.2974244155855506,2.561513963170876,234.55436612638326,127.55749648785388,96.77008212270327
41,L,296.06,306.88,1324,42.24,107.6,0,No_Failure,0.09305573306673133,2.8045021897161586,61.02311556448112,39.01763334872447,24.11093920047557
42,L,300.58,309.7,1498,29.31,20.7,0,No_Failure,0.05785354176762957,3.729382429709807,18.465280516469697,9.797725227162436,8.22262288839666
43,L,297.11,306.62,1519,36.79,41.2,0,No_Failure,0.059998090781095435,2.8906365919016332,20.560111999305985,19.733383974001377,9.701975158576866
44,H,300.89,312.24,1485,20.96,85.8,0,No_Failure,0.07726694130922428,2.931938995862471,42.54050807326207,22.10893830162629,16.80111199830028
45,L,300.82,312.38,1731,40.86,137.9,0,No_Failure,0.1267189923027534,2.768989925159835,88.77371996839749,51.354636988750755,28.66240499799531
46,M,298.12,306.97,1645,53.3,178.9,0,No_Failure,0.18712120280715788,2.567072780420941,120.11547794061693,97.6653297027359,58.59941680599294
47,L,302.24,312.49,1242,22.04,77.0,0,No_Failure,0.07110156181243166,3.4809385982602308,32.99105397412873,19.32134160107296,15.596907923790695
48,L,301.61,311.18,1776,41.29,239.4,1,Tool_Wear_Failure,0.31039227779006334,2.546907935853229,182.43622056551158,146.88002659986913,90.00492933655013
49,L,301.95,311.25,1007,46.68,190.1,0,No_Failure,0.20482512582295903,2.8873805789547204,121.49808684027253,119.11495190686983,64.58386723186656
50,L,300.02,310.3,1887,48.16,206.4,0,No_Failure,0.23488859258214573,2.7515145081209424,181.9832571421202,114.30054807241663,61.84759626276003
51,H,297.17,308.31,1448,32.54,85.9,0,No_Failure,0.07568149387031142,3.1356670450961768,42.11575707163934,29.067020061062404,19.631283373837825
52,M,301.96,312.41,1466,28.98,98.2,0,No_Failure,0.08658178842459846,3.0694976521745034,49.12544530555695,36.11424246353314,19.215782791482113
53,H,299.46,309.14,1489,34.13,139.5,0,No_Failure,0.12739670386359697,2.8263646382607406,95.58934483025737,56.42426756775707,37.156899471334306
54,M,297.22,307.74,1569,51.91,115.9,0,No_Failure,0.10239950833134191,3.5412811464092586,56.23564391878101,46.0531481922022,29.159700718515186
55,L,302.7,312.34,1500,22.9,65.0,0,No_Failure,0.06676429078495026,3.1173484547336017,29.208218759431197,23.37861638714684,14.729078183175453
56,H,304.2,314.61,1476,27.84,254.3,1,Tool_Wear_Failure,0.34348222545840357,2.3139291309581305,217.1709496123234,193.643718380565,81.98636280217767
57,L,299.92,311.31,1736,35.41,212.1,0,No_Failure,0.2467625915386334,2.4793991513709623,163.11710827707418,134.89053406609068,67.18520702269474
58,L,304.32,312.24,1602,30.24,59.5,0,No_Failure,0.06610006776088058,3.3001219800659176,30.169532481217946,19.56802415783091,14.470961265800188
59,L,300.18,310.98,1327,39.58,223.1,0,No_Failure,0.26825630088372177,2.6207915278736715,208.2713442899322,125.48012194938192,67.4828157153855
60,L,299.24,307.7,1633,54.15,146.7,0,No_Failure,0.13539747743548977,2.9258218950945394,90.99207262351072,70.5324025274039,33.80989800174515
61,L,298.74,309.97,1594,27.96,3.1,0,No_Failure,0.057108513689353685,2.9589351609075734,18.89067388184808,11.366998795340193,7.446150998545768
62,L,303.27,312.64,1402,38.54,86.5,0,No_Failure,0.07918340213230118,3.225445649015853,37.545954992979304,28.342058511154317,21.561224091855355
63,M,298.44,307.22,1643,39.92,9.4,0,No_Failure,0.05811781472462443,3.610932854952055,13.65123182180411,11.907094620650328,8.614815773860638
64,L,301.47,312.17,1472,36.65,21.9,0,No_Failure,0.060724649337948175,3.212819200952196,13.658377000777453,11.044409452131573,10.255408270013621
65,L,298.88,309.25,1460,24.22,44.7,0,No_Failure,0.061724226522815714,3.3742916226196242,22.436009589216795,15.071982280966782,13.074714690911343
66,L,299.08,308.08,1455,33.62,121.1,0,No_Failure,0.10807164513937075,3.128361178612583,75.62713255337107,52.86045510475943,29.884844301714253
67,L,302.06,310.81,1063,33.65,95.3,0,No_Failure,0.08381247028834253,3.5219785458681447,47.403815926111605,29.751784544635942,18.952494150954386
68,M,299.24,309.05,1405,46.34,40.2,0,No_Failure,0.06145038492222098,3.0530844413585676,17.797290027770345,15.725881153628073,13.278239257559978
69,L,299.19,307.99,1628,44.2,98.6,0,No_Failure,0.08730676456283824,3.002228465123494,52.648531020026766,38.15114593121386,18.70191270421644
70,H,302.27,311.2,1496,24.48,81.1,0,No_Failure,0.07365716651636504,3.822944486243901,39.302307334284485,28.28086783395967,20.148509852678046
71,M,303.19,313.31,1269,36.13,105.5,0,No_Failure,0.09258224969174873,2.784258465145112,50.756139990497694,43.281367718004574,19.365030546409614
72,L,301.29,310.32,1674,35.0,43.1,0,No_Failure,0.05991044496664948,3.7192850408783578,17.948422588804544,12.954498292681972,11.45289921070705
73,L,298.69,309.12,1446,59.55,152.4,0,No_Failure,0.14371223848717446,2.7758724385057842,94.5323686843637,72.10969308168151,49.58517170228781
74,M,298.98,310.47,1280,42.92,14.1,0,No_Failure,0.05755604318499011,3.438324646484344,16.112066143105743,9.062502197662024,10.031653448239961
75,M,300.16,310.01,1897,29.23,100.0,0,No_Failure,0.08740466096726086,2.84680122543467,49.672441463714435,42.46045983217824,23.641982661771017
76,M,300.64,310.77,1310,32.23,226.7,1,Tool_Wear_Failure,0.279476412646574,2.5375163863060735,184.39650651263992,129.26015587378603,89.94011703690876
77,M,298.02,310.04,1658,36.21,107.9,0,No_Failure,0.09353117327955716,3.1225532619253955,62.26833969119755,39.07973206278482,29.999739109543025
78,L,301.45,310.26,1362,43.62,110.3,0,No_Failure,0.09699334767552967,2.7932100119313255,60.813802354115175,48.591498929669925,24.283756341733046
79,L,300.17,311.36,1524,44.85,17.0,0,No_Failure,0.05858698438281322,3.208556457325485,15.51827333005047,12.29494153688097,9.874648587821326
80,L,296.57,307.64,1338,42.0,151.3,0,No_Failure,0.1449877964745254,2.770223502715095,78.11831730408568,75.48027938096955,45.385267609114734
81,M,298.14,309.0,1277,37.9,237.1,0,No_Failure,0.30860070324018946,2.452863109184099,209.93735894309089,170.6223334496113,78.58285478695298
82,M,298.99,310.28,1594,38.64,75.9,0,No_Failure,0.0715614965635292,3.361144514643169,35.34693643940368,20.53272637339405,18.433568122818627
83,L,299.85,310.13,1573,38.71,98.3,0,No_Failure,0.08603248094098283,2.906094567380291,40.26220237904573,30.032077408564728,18.449448703421403
84,L,303.78,313.2,1706,22.17,147.0,0,No_Failure,0.13651981809709354,2.9805834465222034,74.36815438195245,50.66355617980751,43.86286852444207
85,L,300.48,311.57,1494,39.39,23.3,0,No_Failure,0.059846191902191176,3.637760549029757,20.455823147890886,14.53241323794774,6.707605924929306
86,L,298.32,309.45,1900,34.23,237.6,1,Tool_Wear_Failure,0.3064112871407231,2.310300233554694,225.07963647355635,159.13065703235284,103.82105521561958
87,M,300.44,311.55,1548,23.47,119.9,0,No_Failure,0.10415096837975944,2.9701854209802305,67.77337109161924,42.889020375012905,33.08090700242078
88,M,299.3,309.34,1602,64.18,31.8,1,Power_Failure,0.05946198389901335,3.4170415611524816,15.06837965935421,11.247728361540771,9.691282721640778
89,M,300.65,309.93,1255,43.11,86.8,0,No_Failure,0.07760739864909519,3.1903926672618517,44.609475557083925,30.344887770516948,21.47772986476547
90,L,301.16,311.35,1389,40.13,93.5,0,No_Failure,0.08194440347674392,2.960810664039268,48.59083853544378,34.35373745616517,21.573036130243175
91,L,302.42,313.36,1594,36.29,86.3,0,No_Failure,0.0782677219793464,3.5661324792479356,44.03123359021963,24.437974709162663,20.732403892713094
92,M,299.95,310.98,1485,47.3,176.3,0,No_Failure,0.18161190940517122,2.7211343752422215,138.33940223307212,69.92349131459574,54.351172348397554
93,M,303.28,312.85,1534,28.38,89.4,0,No_Failure,0.07908265015107643,3.371969597554007,42.08203181703821,33.47957491989325,17.35420836391843
94,L,301.82,312.13,1353,36.87,81.0,0,No_Failure,0.07598164786204581,3.3777998475412643,45.52756074785981,23.547613897586256,22.336732271905994
95,M,298.59,307.28,1522,30.48,83.5,0,No_Failure,0.0784025094122227,3.1359299150450832,43.72385474819692,29.70667242163494,19.12076572680563
96,L,304.42,315.4,1521,47.22,194.5,0,No_Failure,0.2142187223415956,2.9954646852052993,168.50517096387466,114.41907255441023,60.34011154280855
97,L,300.65,309.87,1288,31.73,77.1,0,No_Failure,0.07162755568825427,3.392720909605326,38.254035027162885,25.452851271439712,15.985493397290371
98,L,298.33,309.12,1616,51.01,3.5,0,No_Failure,0.0554866516171436,3.4354776459006002,15.314864626156487,11.191237259881893,8.381916398331306
99,L,303.31,312.16,1194,39.01,91.4,0,No_Failure,0.0811014527898897,3.345981092271651,50.73126162068901,26.874950623371888,22.345798423136955
100,L,304.16,315.19,1533,47.74,69.6,0,No_Failure,0.07012495325260061,3.6533675581735863,31.75241326094546,24.858681461124,12.537991256480106
101,L,299.93,310.26,1818,44.0,227.3,0,No_Failure,0.2822015151656846,2.549452472925859,213.7700586279808,117.73171509789285,90.34151902601117
102,M,298.99,308.21,1622,50.59,122.5,0,No_Failure,0.10615170820524181,2.8106199623351262,72.1657379691013,48.39381770178672,27.959966390431735
103,L,299.66,310.35,1621,30.65,58.6,0,No_Failure,0.06631638756424921,3.243288929462753,27.238215072512048,20.453538064561158,12.665354835079416
104,L,301.43,310.84,1338,49.06,245.4,0,No_Failure,0.3204414068104701,2.5041342536078335,179.80356315430691,179.38977233364704,106.34258528988414
105,H,302.56,313.31,1818,21.37,66.7,0,No_Failure,0.06919940689442935,3.2087181932711037,32.427816237901745,16.93915319690757,16.3350653611483
106,L,301.14,310.87,1748,40.43,190.8,0,No_Failure,0.20882907891098865,2.744602121242953,146.379940176891,92.70175603903206,70.87254729392622
107,L,300.2,308.48,1348,34.54,162.4,0,No_Failure,0.1619394136064431,2.6235848609418584,114.41260697853822,76.90057967258217,51.3728919950658
108,M,303.0,312.01,1415,25.95,118.6,0,No_Failure,0.10531797959538275,3.1122113595216474,66.37587550517453,45.81609371041991,29.723744265502315
109,L,299.37,308.94,1726,31.06,101.5,0,No_Failure,0.08684168660221542,3.1471375634351566,55.04627000590148,34.093378688931196,22.490237080589434
110,L,302.06,313.43,1823,33.59,218.1,0,No_Failure,0.26314052376976127,2.480728099277472,204.5087611198786,139.4208628680968,83.10485768289695
111,L,299.42,310.33,1272,38.03,118.8,0,No_Failure,0.1038783969408309,2.934565116444901,52.29830752647468,53.780963922680996,23.146918948370576
112,L,300.86,312.49,1319,34.75,93.8,0,No_Failure,0.08535625662886827,3.352287214487866,49.35299497554743,38.089945407687495,15.521769653395046
113,H,299.77,311.43,1474,40.8,93.6,0,No_Failure,0.08290281622013045,3.100164682672186,34.37506815432416,39.63943121598733,16.742813681731917
114,M,299.89,309.35,1109,31.7,72.0,0,No_Failure,0.06987502278943389,3.261328106805948,28.4037273647637,19.08958709566976,17.94829410239121
115,M,299.25,309.06,1503,35.23,105.2,0,No_Failure,0.09101701631623692,3.492756544059143,43.62424815623893,36.46526364510562,27.601771478456627
116,M,302.69,312.28,1713,37.11,33.0,0,No_Failure,0.06283090097812902,3.0503501643606095,21.191627318322798,15.218277504820671,10.134489543639411
117,M,298.53,307.86,1241,41.82,19.3,0,No_Failure,0.058323651150178034,3.215693549974882,12.153999019436732,10.39079433803489,10.3180457656041
118,L,298.52,306.68,1523,48.49,135.4,0,No_Failure,0.12047673851617315,2.9856230339757404,83.24915264547481,61.95383571304839,30.278876727719723
119,M,304.24,314.23,1395,48.54,116.6,0,No_Failure,0.09973443913177675,2.7651993966235606,65.45258329641118,37.24382590891334,30.766925017948818
120,L,301.96,310.67,1795,42.37,43.3,0,No_Failure,0.061307686678965405,2.932951165982905,24.706113231670496,12.855574245892539,12.389510255559903
121,M,295.23,305.2,1397,44.3,29.7,0,No_Failure,0.05840505335018475,3.2905823539725256,15.216135665701485,11.995860584524461,10.086647227172861
122,M,298.87,310.99,1773,43.12,38.8,0,No_Failure,0.05926715100749425,3.308461412334366,17.17137844635757,13.093374683277634,10.379187543262285
123,L,296.38,305.87,1392,36.85,78.8,0,No_Failure,0.0742784791714727,3.261934259579709,40.07022941971269,24.031668229069663,18.164552486069717
124,L,298.1,308.29,1639,49.01,112.9,0,No_Failure,0.09893524037665626,2.818911766864061,49.66984391323676,38.76845457030841,28.198771597825925
125,L,293.72,304.63,1545,30.86,48.3,0,No_Failure,0.060828676676762436,2.947391925903367,22.661524431172953,16.79294444075996,11.218104794101876
126,L,299.73,310.01,1475,19.52,188.9,0,No_Failure,0.20442603041127233,2.7345929997496286,119.78322901425736,114.42571231232986,51.586693141388544
127,M,297.72,308.01,1358,29.59,51.3,0,No_Failure,0.061622837920304784,3.2606721561061813,25.348922020149786,17.823609873264214,11.944607694678378
128,M,300.12,309.76,1558,54.03,34.0,0,No_Failure,0.0603309018477107,3.220107501674381,20.13628439627829,14.025680968459119,10.15754246497124
129,L,296.75,306.52,1421,37.05,248.6,1,Tool_Wear_Failure,0.32831855976133967,2.4611847354567997,261.1886359234014,153.71340111752974,87.94290405397966
130,L,300.17,309.21,1376,42.74,111.9,0,No_Failure,0.0968446660998073,2.841208740319619,52.41849027844919,38.07329749812677,21.15209592328385
131,L,299.17,310.02,1765,37.26,42.5,0,No_Failure,0.06394501708986611,3.082672904631253,22.47924367924969,17.73039173281575,13.430219530366669
132,L,303.0,311.26,1599,45.62,223.6,0,No_Failure,0.27657030418671885,2.4444940540246187,202.47578998937183,131.65270344604622,94.57571212574517
133,L,302.82,313.79,1616,40.71,57.8,0,No_Failure,0.06377145521052395,2.9117601497486714,26.90894419413211,17.091694495297098,12.413437443572205
134,L,301.57,310.17,1430,39.31,231.4,0,No_Failure,0.28904363319832543,2.728767671521259,219.95372215913903,161.89763517893238,77.67484424662048
135,H,299.35,310.31,1467,46.14,34.7,0,No_Failure,0.06194283644438582,3.838311808958742,18.925663170864144,13.949883197103361,8.243448059672827
136,L,303.97,313.62,1455,35.34,210.5,0,No_Failure,0.24615521443434657,2.608685348479238,196.37206754089067,133.94681726390328,83.1699815310721
137,L,296.89,305.66,1561,43.72,46.1,0,No_Failure,0.06214764071511737,3.3289843951490945,23.709752508844208,18.685865346003517,12.42139917150499
138,M,297.19,307.77,1616,38.25,237.6,1,Tool_Wear_Failure,0.3039824811997404,2.527384380783001,226.16062309549093,133.72592522671155,96.12632928567311
139,L,299.83,310.76,1495,38.93,143.6,0,No_Failure,0.1353365080870612,2.870905759494743,99.81813198360075,69.95795296829108,42.742561014577745
140,H,304.51,314.07,1357,31.81,52.5,0,No_Failure,0.061756435749217804,3.9696886164590737,23.479614776798485,16.16363976793838,11.244956629212778
141,H,299.6,310.32,1637,37.84,216.2,0,No_Failure,0.25773684542979347,2.6709434452822016,162.66378821794572,119.56176534263298,72.82584914253121
142,L,299.63,307.35,1506,34.59,97.6,0,No_Failure,0.0836650064456746,3.0793247063464304,37.64832170498713,28.663380631385465,21.685153128783607
143,L,297.12,305.8,1241,51.3,183.2,0,No_Failure,0.19307811623489765,2.7146376797750578,113.72132409204256,71.74318306607157,66.41197892102161
144,L,301.89,313.18,1116,23.16,160.9,0,No_Failure,0.15429731886221842,2.6578501734003557,113.51421692855845,82.87964466681473,42.46387893424838
145,L,301.91,311.68,1554,48.89,178.6,0,No_Failure,0.18515664998898285,2.51644214754037,143.9723340110865,85.47316035787313,61.032826759250085
146,L,301.58,309.72,1351,22.56,85.9,0,No_Failure,0.07803856947725042,3.1131530439304567,46.010779364502234,26.062460866325495,20.073068086217475
147,M,298.74,308.04,1578,45.37,237.7,1,Tool_Wear_Failure,0.30471653163087115,2.54802825000857,200.26863681909492,161.0539051186551,70.0890259481281
148,L,298.59,307.66,1360,31.62,140.0,0,No_Failure,0.12808848082387986,2.8538013040481935,94.29825556870746,66.2219590941176,41.29744415505785
149,L,297.41,307.25,1524,45.66,19.4,0,No_Failure,0.05832992150427158,3.283971342604108,17.04239529286271,11.91439096268272,8.50826575085847
150,L,300.17,309.8,1432,38.79,16.7,0,No_Failure,0.05771129210385548,4.052033198469472,16.183240133854984,12.817105023525578,9.510128813249969
151,H,297.84,308.02,1815,25.68,189.6,0,No_Failure,0.20568052689621186,2.615846444240612,143.9908021232198,92.7592399639083,67.94343341755481
152,L,297.65,307.58,1671,53.59,212.5,0,No_Failure,0.24820914480173537,2.546163728600238,151.98750561234533,139.6892190123882,74.85724918821082
153,L,299.15,310.51,1743,47.77,173.8,0,No_Failure,0.17676958103968782,2.6255387781330213,105.5971451037177,96.39900615213745,52.64125086534038
154,L,299.02,309.45,1504,45.03,69.4,0,No_Failure,0.06976358930402414,2.8113921737766323,28.020611574585033,21.82522465800193,15.435334771406874
155,H,298.92,309.38,1648,33.6,61.5,0,No_Failure,0.06718942217333074,3.338762323635528,29.059771488327808,22.600400187377133,12.278236998580246
156,L,300.93,312.1,1516,48.11,141.4,0,No_Failure,0.12803066553778505,2.7329285407386528,86.91711889691568,68.02759336919047,36.512691830581936
157,M,300.16,309.77,1765,27.17,52.2,0,No_Failure,0.06306376921781633,3.282135961520154,21.649931921232405,19.34085260153366,13.201604159510255
158,M,299.42,308.16,1487,17.72,97.8,0,No_Failure,0.08346213905648739,2.877779029286443,49.93990799199965,31.188336138334922,21.545863025224257
159,L,300.37,311.57,1248,24.38,157.2,0,No_Failure,0.15052746389852278,2.7168050529440606,105.02509141625839,81.20672219858795,48.64211436966431
160,M,298.02,308.15,1140,30.78,74.2,0,No_Failure,0.07112123330507816,3.589639575705237,25.846192613295003,29.262227422779066,17.342612627772994
161,L,300.21,310.35,1800,32.45,93.9,0,No_Failure,0.0836203838509978,3.2422607151747034,46.284146033426104,32.06395616238929,23.843289242588245
162,M,300.3,309.67,1586,35.65,93.1,0,No_Failure,0.08187564302941841,3.5541943135382956,47.94061475262865,34.41436947795537,19.42351903356314
163,M,296.99,306.38,1598,36.1,118.1,0,No_Failure,0.1037257393725565,2.7384214750660885,65.93890866987994,41.4262892634079,32.235861462074006
164,L,301.99,312.84,1768,33.5,168.6,0,No_Failure,0.1674615868376324,2.615533309561273,108.60660546857466,81.64186353009507,51.58818635707724
165,L,298.24,309.22,1203,18.84,195.6,1,Power_Failure,0.21615497972390285,2.6099526436836173,124.27436050862867,118.51743289893389,70.32202404488447
166,M,300.18,310.96,1435,41.92,169.3,0,No_Failure,0.1718261065081985,2.802600261913766,104.53259537403953,85.59598506805129,51.52576985612441
167,L,302.33,313.12,1458,37.35,6.5,0,No_Failure,0.05736384033702417,4.068271509552393,15.96287952823317,11.835465674761842,7.660262138558318
168,L,301.85,312.42,1634,33.04,224.2,0,No_Failure,0.2734446071691133,2.404724710372041,190.04768499714783,145.0688903319085,72.6984827976705
169,L,300.07,310.2,1375,53.98,145.3,0,No_Failure,0.13172771112030116,3.328434006660436,73.67039293458177,55.79199729656172,30.107499099694433
170,L,299.28,309.1,1284,37.58,230.1,0,No_Failure,0.28707951622537536,2.511300902153165,223.84259585185154,121.12602285518948,87.70759051965634
171,M,301.9,313.11,1282,40.59,244.0,1,Tool_Wear_Failure,0.317543075042185,2.4420308790312695,244.08162753009447,151.3123392825064,97.65260374995286
172,L,301.35,310.98,1707,47.96,117.0,0,No_Failure,0.10268155653360675,2.871729486903551,49.67011351694853,38.83295083593511,29.589943857841607
173,L,298.76,309.13,1366,25.1,229.1,0,No_Failure,0.2852403267904818,2.4487599506585975,200.29309516096518,155.6778019826496,85.81951512137015
174,L,298.41,307.61,1401,39.77,91.3,0,No_Failure,0.08053195077077363,3.3489798623146254,39.04472512849644,30.820479997278802,21.207329778748022
175,M,295.86,305.2,1614,47.93,68.1,0,No_Failure,0.06723510487592954,3.188683396402617,31.900375356255253,21.264723976335596,13.336483038352107
176,L,300.31,310.07,1374,39.09,18.4,0,No_Failure,0.05761362026684771,3.2920401817547646,11.39877043862879,10.256999912706629,10.279771790325453
177,M,299.83,309.03,1193,26.97,116.0,0,No_Failure,0.10142945209166604,3.143636153478707,65.85577044217192,43.32441498904747,26.10333348464425
178,L,302.27,313.07,1215,35.18,172.2,0,No_Failure,0.17800588735018752,2.9248568811523974,128.90140472566156,83.96450365629832,52.36602267582625
179,H,300.72,309.37,1490,41.89,249.2,0,No_Failure,0.33193775349278015,2.603806161989911,262.0490153990765,174.32694931875463,105.93779943984347
180,L,302.67,312.77,1590,18.93,130.3,0,No_Failure,0.11717265258949491,2.933027992836099,85.79373529184164,56.55261356743025,31.476470744074376
181,L,298.61,308.74,1464,26.47,183.6,0,No_Failure,0.19253340990595874,2.6158555502875234,140.51959154220197,78.7000324032175,60.734322837367
182,L,302.28,310.47,1577,59.74,224.0,0,No_Failure,0.2741864157499969,2.496516839661444,175.15630975165112,135.39104707656534,64.03176381549659
183,H,298.94,308.5,1210,44.85,140.8,0,No_Failure,0.13112375955702668,2.8404860846958844,80.2956029671764,69.19985173613712,41.36270932042114
184,M,301.56,311.81,1222,54.83,44.7,0,No_Failure,0.06257859275304152,3.5079247049632345,22.847197586313527,16.032420260651843,12.262291410637124
185,L,297.08,307.51,1906,48.66,212.1,0,No_Failure,0.25072935653029294,2.6634641179339917,150.93010634362122,100.62987763654687,81.65466661509245
186,M,300.47,310.27,1722,43.94,146.5,0,No_Failure,0.13725485432706058,2.8273072772892323,101.54948339925437,70.59250086000486,39.31203303378152
187,M,296.03,306.71,1638,36.91,192.6,0,No_Failure,0.20861851814875237,2.528782947205359,122.13898265591243,87.01412074271236,64.2384097487571
188,L,299.47,309.36,1381,43.81,164.6,0,No_Failure,0.16032189939600738,2.7746639126646446,112.05730389453308,85.2652060801824,46.51108049924129
189,L,300.88,310.89,1457,54.5,15.3,0,No_Failure,0.05617769580686479,2.9923804986398053,14.6178599197331,12.245095463028683,8.895319905378463
