UDI,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,Failure_type
101,L,299.93,310.26,1818,44.0,227.3,0,No_Failure
102,M,298.99,308.21,1622,50.59,122.5,0,No_Failure
103,L,299.66,310.35,1621,30.65,58.6,0,No_Failure
104,L,301.43,310.84,1338,49.06,245.4,0,No_Failure
105,H,302.56,313.31,1818,21.37,66.7,0,No_Failure
106,L,301.14,310.87,1748,40.43,190.8,0,No_Failure
107,L,300.2,308.48,1348,34.54,162.4,0,No_Failure
108,M,303.0,312.01,1415,25.95,118.6,0,No_Failure
109,L,299.37,308.94,1726,31.06,101.5,0,No_Failure
110,L,302.06,313.43,1823,33.59,218.1,0,No_Failure
111,L,299.42,310.33,1272,38.03,118.8,0,No_Failure
112,L,300.86,312.49,1319,34.75,93.8,0,No_Failure
113,H,299.77,311.43,1474,40.8,93.6,0,No_Failure
114,M,299.89,309.35,1109,31.7,72.0,0,No_Failure
115,M,299.25,309.06,1503,35.23,105.2,0,No_Failure
116,M,302.69,312.28,1713,37.11,33.0,0,No_Failure
117,M,298.53,307.86,1241,41.82,19.3,0,No_Failure
118,L,298.52,306.68,1523,48.49,135.4,0,No_Failure
119,M,304.24,314.23,1395,48.54,116.6,0,No_Failure
120,L,301.96,310.67,1795,42.37,43.3,0,No_Failure
121,M,295.23,305.2,1397,44.3,29.7,0,No_Failure
122,M,298.87,310.99,1773,43.12,38.8,0,No_Failure
123,L,296.38,305.87,1392,36.85,78.8,0,No_Failure
124,L,298.1,308.29,1639,49.01,112.9,0,No_Failure
125,L,293.72,304.63,1545,30.86,48.3,0,No_Failure
126,L,299.73,310.01,1475,19.52,188.9,0,No_Failure
127,M,297.72,308.01,1358,29.59,51.3,0,No_Failure
128,M,300.12,309.76,1558,54.03,34.0,0,No_Failure
129,L,296.75,306.52,1421,37.05,248.6,1,Tool_Wear_Failure
130,L,300.17,309.21,1376,42.74,111.9,0,No_Failure
131,L,299.17,310.02,1765,37.26,42.5,0,No_Failure
132,L,303.0,311.26,1599,45.62,223.6,0,No_Failure
133,L,302.82,313.79,1616,40.71,57.8,0,No_Failure
134,L,301.57,310.17,1430,39.31,231.4,0,No_Failure
135,H,299.35,310.31,1467,46.14,34.7,0,No_Failure
136,L,303.97,313.62,1455,35.34,210.5,0,No_Failure
137,L,296.89,305.66,1561,43.72,46.1,0,No_Failure
138,M,297.19,307.77,1616,38.25,237.6,1,Tool_Wear_Failure
139,L,299.83,310.76,1495,38.93,143.6,0,No_Failure
140,H,304.51,314.07,1357,31.81,52.5,0,No_Failure
141,H,299.6,310.32,1637,37.84,216.2,0,No_Failure
142,L,299.63,307.35,1506,34.59,97.6,0,No_Failure
143,L,297.12,305.8,1241,51.3,183.2,0,No_Failure
144,L,301.89,313.18,1116,23.16,160.9,0,No_Failure
145,L,301.91,311.68,1554,48.89,178.6,0,No_Failure
146,L,301.58,309.72,1351,22.56,85.9,0,No_Failure
147,M,298.74,308.04,1578,45.37,237.7,1,Tool_Wear_Failure
148,L,298.59,307.66,1360,31.62,140.0,0,No_Failure
149,L,297.41,307.25,1524,45.66,19.4,0,No_Failure
150,L,300.17,309.8,1432,38.79,16.7,0,No_Failure
151,H,297.84,308.02,1815,25.68,189.6,0,No_Failure
152,L,297.65,307.58,1671,53.59,212.5,0,No_Failure
153,L,299.15,310.51,1743,47.77,173.8,0,No_Failure
154,L,299.02,309.45,1504,45.03,69.4,0,No_Failure
155,H,298.92,309.38,1648,33.6,61.5,0,No_Failure
156,L,300.93,312.1,1516,48.11,141.4,0,No_Failure
157,M,300.16,309.77,1765,27.17,52.2,0,No_Failure
158,M,299.42,308.16,1487,17.72,97.8,0,No_Failure
159,L,300.37,311.57,1248,24.38,157.2,0,No_Failure
160,M,298.02,308.15,1140,30.78,74.2,0,No_Failure
161,L,300.21,310.35,1800,32.45,93.9,0,No_Failure
162,M,300.3,309.67,1586,35.65,93.1,0,No_Failure
163,M,296.99,306.38,1598,36.1,118.1,0,No_Failure
164,L,301.99,312.84,1768,33.5,168.6,0,No_Failure
165,L,298.24,309.22,1203,18.84,195.6,1,Power_Failure
166,M,300.18,310.96,1435,41.92,169.3,0,No_Failure
167,L,302.33,313.12,1458,37.35,6.5,0,No_Failure
168,L,301.85,312.42,1634,33.04,224.2,0,No_Failure
169,L,300.07,310.2,1375,53.98,145.3,0,No_Failure
170,L,299.28,309.1,1284,37.58,230.1,0,No_Failure
171,M,301.9,313.11,1282,40.59,244.0,1,Tool_Wear_Failure
172,L,301.35,310.98,1707,47.96,117.0,0,No_Failure
173,L,298.76,309.13,1366,25.1,229.1,0,No_Failure
174,L,298.41,307.61,1401,39.77,91.3,0,No_Failure
175,M,295.86,305.2,1614,47.93,68.1,0,No_Failure
176,L,300.31,310.07,1374,39.09,18.4,0,No_Failure
177,M,299.83,309.03,1193,26.97,116.0,0,No_Failure
178,L,302.27,313.07,1215,35.18,172.2,0,No_Failure
179,H,300.72,309.37,1490,41.89,249.2,0,No_Failure
180,L,302.67,312.77,1590,18.93,130.3,0,No_Failure
181,L,298.61,308.74,1464,26.47,183.6,0,No_Failure
182,L,302.28,310.47,1577,59.74,224.0,0,No_Failure
183,H,298.94,308.5,1210,44.85,140.8,0,No_Failure
184,M,301.56,311.81,1222,54.83,44.7,0,No_Failure
185,L,297.08,307.51,1906,48.66,212.1,0,No_Failure
186,M,300.47,310.27,1722,43.94,146.5,0,No_Failure
187,M,296.03,306.71,1638,36.91,192.6,0,No_Failure
188,L,299.47,309.36,1381,43.81,164.6,0,No_Failure
189,L,300.88,310.89,1457,54.5,15.3,0,No_Failure
190,L,298.96,309.21,1500,48.26,42.3,0,No_Failure
191,L,297.9,308.83,1737,41.67,71.6,0,No_Failure
192,M,301.69,311.02,1573,38.28,74.2,0,No_Failure
193,H,299.79,309.31,1595,44.98,214.8,0,No_Failure
194,M,299.02,308.35,1470,34.68,152.6,0,No_Failure
195,L,300.08,309.75,1643,44.98,20.8,0,No_Failure
196,L,305.27,316.7,1554,33.02,96.8,0,No_Failure
197,M,302.31,312.88,1508,36.46,142.1,0,No_Failure
198,M,302.33,311.19,1366,29.72,65.9,0,No_Failure
199,M,300.87,310.27,1480,35.6,13.0,0,No_Failure
200,M,300.33,310.71,1306,33.16,98.1,0,No_Failure
201,M,295.21,304.3,1493,56.92,118.3,0,No_Failure
202,L,298.64,307.92,1516,31.06,226.2,1,Tool_Wear_Failure
203,L,299.04,310.38,1067,43.85,227.1,1,Tool_Wear_Failure
204,M,296.25,305.64,1459,30.53,128.1,0,No_Failure
205,M,297.69,308.64,1288,40.47,120.9,0,No_Failure
206,L,296.04,307.29,1590,42.9,160.1,0,No_Failure
207,L,299.92,309.19,1615,21.49,64.5,0,No_Failure
208,M,301.64,310.75,1423,26.02,74.4,0,No_Failure
209,L,302.21,311.94,1599,30.45,0.6,0,No_Failure
210,L,300.83,309.74,1606,26.97,19.6,0,No_Failure
211,L,298.07,308.19,1459,40.84,44.6,0,No_Failure
212,M,296.14,305.93,1776,42.43,163.1,0,No_Failure
213,M,296.49,306.85,1369,29.37,56.2,0,No_Failure
214,L,297.46,308.86,1765,41.24,31.0,0,No_Failure
215,M,298.22,309.04,1459,35.76,157.1,0,No_Failure
216,L,299.68,310.17,1348,39.01,162.9,0,No_Failure
217,L,297.97,306.01,1437,33.72,14.9,0,No_Failure
218,M,300.68,311.12,1302,44.88,196.2,0,No_Failure
219,M,299.54,311.26,1641,56.35,154.5,0,No_Failure
220,M,300.02,307.01,1212,47.74,102.3,1,Heat_Dissipation_Failure
221,M,302.28,312.97,1750,53.93,248.8,0,No_Failure
222,L,297.64,307.48,1332,25.97,2.5,0,No_Failure
223,L,300.84,309.99,1651,33.24,136.2,0,No_Failure
224,L,299.97,310.77,1504,45.65,39.9,0,No_Failure
225,L,299.33,311.04,1549,55.08,82.3,0,No_Failure
226,L,301.77,312.55,1394,46.5,33.3,0,No_Failure
227,H,301.76,311.39,1564,29.74,172.1,0,No_Failure
228,L,298.11,307.16,1524,35.65,100.4,0,No_Failure
229,M,299.64,309.78,1238,43.33,249.6,1,Tool_Wear_Failure
230,M,300.56,311.44,1327,38.35,166.5,0,No_Failure
231,M,299.45,309.07,1403,32.01,232.3,1,Tool_Wear_Failure
232,L,301.17,310.88,1364,37.1,60.2,0,No_Failure
233,L,300.56,313.38,1726,39.86,79.7,0,No_Failure
234,L,303.67,314.74,1501,29.15,90.7,0,No_Failure
235,L,296.94,308.09,1360,49.85,209.6,0,No_Failure
236,M,299.76,308.29,1412,35.6,55.9,0,No_Failure
237,L,298.18,307.48,1409,39.27,236.7,1,Tool_Wear_Failure
238,L,301.21,311.28,1448,50.35,10.9,0,No_Failure
239,M,296.77,305.76,1306,38.75,225.5,1,Tool_Wear_Failure
240,L,300.69,312.29,1353,49.8,112.9,0,No_Failure
241,H,298.74,310.15,1638,29.71,136.5,0,No_Failure
242,H,298.53,308.0,1533,44.33,254.3,1,Tool_Wear_Failure
243,H,297.11,308.89,1473,48.39,222.5,0,No_Failure
244,L,299.07,309.07,1500,31.7,226.0,1,Tool_Wear_Failure
245,L,302.17,314.76,1492,38.22,146.4,0,No_Failure
246,H,299.95,310.09,1462,38.42,244.1,1,Tool_Wear_Failure
247,L,301.26,311.83,1593,42.1,172.0,0,No_Failure
248,H,303.33,314.73,1580,44.75,209.8,0,No_Failure
249,H,300.53,311.81,1217,30.89,185.2,0,No_Failure
250,M,298.88,309.39,1476,39.4,198.2,0,No_Failure
251,L,300.93,310.79,1229,55.91,159.5,0,No_Failure
252,L,298.91,309.43,1614,50.54,181.6,0,No_Failure
253,M,298.99,308.17,1638,47.94,112.0,0,No_Failure
254,L,296.96,307.11,1390,38.07,176.7,0,No_Failure
255,L,301.85,310.74,1479,61.29,69.2,0,No_Failure
256,L,299.23,307.45,1120,50.3,158.7,0,No_Failure
257,H,300.36,310.41,1675,40.37,135.9,0,No_Failure
258,M,297.93,309.19,1628,42.2,227.6,0,No_Failure
259,L,300.87,311.8,1707,35.41,168.3,0,No_Failure
260,L,298.48,308.39,1768,43.93,149.2,0,No_Failure
261,M,299.72,311.46,1280,45.93,81.3,0,No_Failure
262,H,301.76,311.19,1660,47.03,220.7,0,No_Failure
263,L,301.58,309.66,1766,38.19,13.5,0,No_Failure
264,L,299.96,307.77,1231,25.26,224.9,0,No_Failure
265,M,296.46,305.28,1469,42.42,166.2,0,No_Failure
266,M,305.99,316.8,1435,47.07,50.4,0,No_Failure
267,M,303.49,312.86,1654,30.21,228.7,0,No_Failure
268,M,301.45,311.91,1069,39.09,84.6,0,No_Failure
269,L,298.49,310.14,1827,53.41,42.1,0,No_Failure
270,L,299.77,308.67,1480,27.97,79.8,0,No_Failure
271,M,298.91,309.39,1665,37.16,243.3,1,Tool_Wear_Failure
272,M,302.53,313.07,1489,54.87,191.2,0,No_Failure
273,M,300.53,309.66,1589,41.58,232.2,0,No_Failure
274,H,298.43,309.79,1082,34.74,79.7,0,No_Failure
275,L,299.06,308.77,1431,39.93,20.6,0,No_Failure
276,L,302.24,311.86,1653,48.26,140.7,0,No_Failure
277,M,303.2,315.31,1552,37.96,123.8,0,No_Failure
278,M,303.06,313.58,1205,45.98,183.2,0,No_Failure
279,M,301.51,312.44,1511,42.35,138.7,0,No_Failure
280,M,299.49,310.85,1353,43.17,102.1,0,No_Failure
281,M,293.52,302.87,1337,46.62,4.2,0,No_Failure
282,L,300.59,311.84,1226,37.05,116.9,0,No_Failure
283,L,300.0,309.49,1611,30.55,30.2,0,No_Failure
284,L,300.28,309.74,1700,44.74,230.5,0,No_Failure
285,L,300.11,309.84,1882,38.68,230.4,0,No_Failure
286,L,297.35,306.73,1235,35.52,200.9,0,No_Failure
287,L,301.11,311.94,1638,45.26,39.5,0,No_Failure
288,L,301.26,311.53,1650,52.77,36.9,0,No_Failure
289,L,301.36,310.87,1396,38.45,140.8,0,No_Failure
290,L,301.89,312.57,1335,40.08,181.9,0,No_Failure
291,L,301.21,310.93,1305,28.18,226.1,1,Tool_Wear_Failure
292,L,299.18,308.85,1405,37.77,223.5,0,No_Failure
293,M,299.86,309.91,1536,42.21,41.8,0,No_Failure
294,L,300.18,310.65,1745,39.8,248.9,1,Tool_Wear_Failure
295,L,300.22,310.61,1699,36.38,39.2,0,No_Failure
296,L,302.0,311.63,1209,47.26,210.0,0,No_Failure
297,M,301.29,312.13,1358,40.58,149.7,0,No_Failure
298,L,304.15,313.93,1734,65.89,169.6,1,Power_Failure
299,M,304.41,313.76,1368,42.08,154.0,0,No_Failure
300,L,300.16,308.69,1490,12.53,217.4,1,Power_Failure
301,L,292.33,303.31,1193,28.88,159.3,0,No_Failure
302,L,302.47,312.49,1708,45.32,212.2,0,No_Failure
303,L,298.92,309.13,1156,33.57,38.6,0,No_Failure
304,M,298.4,309.44,1204,34.19,219.7,0,No_Failure
305,M,299.2,308.73,1689,27.61,251.2,0,No_Failure
306,H,299.11,307.73,1846,35.23,170.4,0,No_Failure
307,L,301.22,311.29,1448,41.94,244.1,1,Tool_Wear_Failure
308,L,296.88,307.19,1492,43.86,55.0,0,No_Failure
309,M,297.84,307.58,1663,29.8,210.3,0,No_Failure
310,L,300.69,312.16,1552,48.05,42.3,0,No_Failure
311,L,301.25,308.76,1433,28.09,129.0,0,No_Failure
312,L,301.28,312.4,1413,44.38,166.0,0,No_Failure
313,L,298.43,309.22,1218,43.37,165.1,0,No_Failure
314,H,298.04,308.5,1542,30.66,172.7,0,No_Failure
315,M,298.99,305.65,1483,29.47,83.2,0,No_Failure
316,M,300.48,311.76,1421,43.82,246.4,1,Tool_Wear_Failure
317,L,302.97,311.94,1320,34.4,1.6,0,No_Failure
318,L,295.91,305.4,1338,38.1,155.2,0,No_Failure
319,L,299.56,309.39,1611,46.87,216.5,0,No_Failure
320,L,297.33,307.74,1659,44.79,222.8,0,No_Failure
321,L,296.7,307.33,1441,30.84,180.1,0,No_Failure
322,M,301.93,312.83,1422,39.46,146.7,0,No_Failure
323,M,301.09,311.91,1346,30.65,117.3,0,No_Failure
324,L,300.9,311.15,1669,48.7,112.4,0,No_Failure
325,H,301.84,312.26,1506,55.37,111.3,0,No_Failure
326,M,299.04,307.95,1566,31.55,178.0,0,No_Failure
327,L,299.13,308.38,1565,39.69,182.8,0,No_Failure
328,M,304.37,315.27,1445,49.17,131.7,0,No_Failure
329,L,299.51,310.34,1290,40.24,185.2,0,No_Failure
330,L,301.47,312.19,1321,45.62,132.1,0,No_Failure
331,L,300.01,309.5,1703,40.52,24.3,0,No_Failure
332,M,296.3,307.21,1369,29.43,215.9,0,No_Failure
333,L,295.91,304.75,1426,41.19,217.6,0,No_Failure
334,L,298.84,309.92,1296,51.27,66.6,0,No_Failure
335,L,302.11,311.85,1281,43.14,196.6,0,No_Failure
336,L,301.58,313.26,1362,56.24,127.8,0,No_Failure
337,M,301.83,310.31,1804,22.28,34.0,0,No_Failure
338,M,298.03,309.79,1618,43.79,102.5,0,No_Failure
339,L,303.23,312.87,1405,33.52,19.1,0,No_Failure
340,L,298.07,307.69,1695,31.24,196.6,0,No_Failure
341,L,300.43,310.62,1473,53.34,49.1,0,No_Failure
342,L,299.98,309.28,1744,37.45,41.1,0,No_Failure
343,L,299.65,309.58,1898,36.48,52.1,0,No_Failure
344,L,302.68,311.94,1685,43.44,56.5,0,No_Failure
345,L,298.59,307.89,1517,18.47,168.5,0,No_Failure
346,M,297.3,307.79,1626,53.55,162.7,0,No_Failure
347,M,300.04,309.14,1503,59.04,35.3,0,No_Failure
348,L,299.2,308.43,1170,49.15,181.1,0,No_Failure
349,L,306.75,315.38,1382,44.12,87.3,0,No_Failure
350,M,301.35,310.85,1329,37.83,117.4,0,No_Failure
351,L,299.18,310.49,1378,29.25,31.2,0,No_Failure
352,M,297.89,307.04,1823,51.94,180.2,0,No_Failure
353,M,296.24,305.51,1702,49.16,97.1,0,No_Failure
354,L,297.95,308.14,1579,44.5,158.0,0,No_Failure
355,L,300.23,309.86,1646,43.34,106.8,0,No_Failure
356,M,302.85,315.08,1159,43.01,15.2,0,No_Failure
357,L,302.24,312.08,1631,34.74,175.9,0,No_Failure
358,L,300.46,310.79,1669,65.01,138.1,1,Power_Failure
359,H,299.35,310.3,1097,37.14,113.6,0,No_Failure
360,L,300.54,311.46,1638,35.73,50.4,0,No_Failure
361,L,298.96,309.2,1244,51.21,156.1,0,No_Failure
362,M,303.44,313.28,1145,39.71,71.8,0,No_Failure
363,L,299.62,311.65,1739,39.81,107.3,0,No_Failure
364,L,299.83,309.73,1319,54.15,14.1,0,No_Failure
365,H,295.57,305.13,1371,46.79,199.2,0,No_Failure
366,L,299.61,308.96,1678,47.29,22.5,0,No_Failure
367,H,301.67,309.95,1445,25.82,227.7,1,Tool_Wear_Failure
368,H,297.86,308.69,1468,44.01,221.9,0,No_Failure
369,L,298.5,306.15,1464,29.94,242.8,0,No_Failure
370,L,301.59,311.58,1563,35.45,227.1,0,No_Failure
371,L,297.05,306.84,1459,41.76,242.9,0,No_Failure
372,L,302.12,314.36,1521,39.64,221.8,0,No_Failure
373,L,298.94,307.1,1409,46.54,28.1,0,No_Failure
374,M,299.22,308.32,1563,47.71,112.4,0,No_Failure
375,L,297.75,307.62,1556,48.46,19.0,0,No_Failure
376,L,300.76,310.56,1842,26.56,136.3,0,No_Failure
377,M,304.92,314.37,1431,63.63,135.4,0,No_Failure
378,L,301.56,311.48,1467,39.75,230.5,0,No_Failure
379,M,298.27,307.01,1543,52.13,245.4,1,Tool_Wear_Failure
380,L,302.27,312.63,1674,14.86,64.9,0,No_Failure
381,L,299.37,307.05,1304,37.35,145.6,0,No_Failure
382,M,302.75,312.72,1519,25.39,119.1,0,No_Failure
383,M,301.61,311.01,1049,31.39,139.7,0,No_Failure
384,M,294.11,305.13,1451,40.51,135.9,0,No_Failure
385,M,297.99,309.75,1693,36.65,231.5,1,Tool_Wear_Failure
386,M,301.89,311.56,1369,53.14,227.0,0,No_Failure
387,L,300.3,311.69,1532,57.69,30.7,0,No_Failure
388,L,297.95,307.64,1405,30.33,86.3,0,No_Failure
389,M,298.73,307.77,1345,35.12,191.2,0,No_Failure
390,M,296.19,307.93,1675,29.69,174.0,0,No_Failure
391,H,299.82,310.34,1312,51.56,162.8,0,No_Failure
392,L,304.42,314.43,1553,41.59,248.5,1,Tool_Wear_Failure
393,L,301.61,312.3,1556,40.32,84.2,0,No_Failure
394,M,304.38,314.66,1347,43.12,131.8,0,No_Failure
395,L,301.76,311.7,1528,36.89,244.8,1,Tool_Wear_Failure
396,H,302.05,310.73,1332,31.44,178.9,0,No_Failure
397,M,303.95,313.68,1594,40.51,165.2,0,No_Failure
398,L,300.75,311.38,1263,37.33,38.7,0,No_Failure
399,M,299.63,309.5,1439,43.47,64.7,0,No_Failure
400,M,302.07,312.97,1455,23.68,97.4,0,No_Failure
401,L,302.91,313.29,1700,41.86,116.2,0,No_Failure
402,H,299.04,308.16,1525,33.11,129.3,0,No_Failure
403,L,298.56,307.24,1672,41.51,225.5,0,No_Failure
404,M,300.28,310.12,1600,49.05,29.8,0,No_Failure
405,L,301.66,311.14,1599,34.44,62.1,0,No_Failure
406,M,301.6,311.93,1440,51.97,38.9,0,No_Failure
407,L,297.15,306.43,1684,22.59,183.8,0,No_Failure
408,L,303.82,313.21,1436,55.44,242.6,1,Tool_Wear_Failure
409,H,298.72,309.77,1189,52.38,228.5,0,No_Failure
410,L,299.47,309.62,1461,31.13,180.8,0,No_Failure
411,L,298.19,307.49,1582,31.22,5.4,0,No_Failure
412,H,305.4,315.41,1211,25.05,91.8,0,No_Failure
413,H,300.48,311.86,1341,49.21,220.9,0,No_Failure
414,L,298.3,308.59,1278,36.7,163.3,0,No_Failure
415,M,301.73,312.32,1642,35.96,55.4,0,No_Failure
416,L,301.54,310.79,1801,28.77,116.6,0,No_Failure
417,L,299.62,310.65,1462,58.12,22.0,0,No_Failure
418,L,301.68,314.0,1596,30.27,130.2,0,No_Failure
419,M,298.35,307.56,1591,40.24,228.3,1,Tool_Wear_Failure
420,M,299.01,307.83,1780,42.16,12.7,0,No_Failure
421,M,295.98,306.16,1383,36.01,156.5,0,No_Failure
422,M,297.35,308.23,1460,33.99,61.3,0,No_Failure
423,L,303.62,313.52,1439,36.31,247.6,1,Tool_Wear_Failure
424,L,303.28,312.23,1514,45.65,16.3,0,No_Failure
425,L,300.13,310.02,1951,36.53,154.3,0,No_Failure
426,L,303.33,313.92,1506,56.26,64.1,0,No_Failure
427,L,299.68,309.27,1346,32.23,220.6,0,No_Failure
428,M,299.51,310.12,1292,47.54,33.5,0,No_Failure
429,L,300.11,311.28,1725,22.44,107.3,0,No_Failure
430,L,299.75,309.99,1345,32.23,46.3,0,No_Failure
431,L,299.57,309.54,1619,31.84,199.9,0,No_Failure
432,M,302.29,313.12,1378,28.96,90.9,0,No_Failure
433,M,300.3,309.44,1272,42.83,49.7,0,No_Failure
434,L,301.42,310.47,1609,38.9,181.5,0,No_Failure
435,L,302.06,311.8,1386,17.21,204.3,1,Power_Failure
436,M,300.78,310.28,1577,59.96,118.6,0,No_Failure
437,L,298.06,307.26,1590,41.76,94.7,0,No_Failure
438,M,297.29,309.12,1598,40.01,161.0,0,No_Failure
439,M,300.3,312.47,1452,53.1,165.8,0,No_Failure
440,L,299.66,309.3,1624,49.89,165.2,0,No_Failure
